customerid,customer_name,country,state,gender,dob,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,complaint_count,avg_csat,escalation_count,latest_complaint_date,tenure_days,tenure_months,interests,pincode
0002-ORFBO,keshav,India,Maharashtra,Male,1982-04-12,2021-03-15,Referral,2025-03-15,Standard,Annual,,,13.99,627,12,0,0,,0,,1995,65.54,travel,
0003-MKNFE,raghav,India,Karnataka,Male,1995-11-23,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,2,35.0,NY,2024-08-28,2221,72.97,,
0004-TLHLJ,lalita,India,Delhi,Female,1978-02-15,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,0,,0,,1380,45.34,movie,
0011-IGKFF,mohan,India,Nagaland,Male,2001-08-30,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,0,,0,,2670,87.72,,
0013-EXCHZ,mira,India,Delhi,Female,1990-05-05,2023-01-05,Referral,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,1,20.0,Y,2024-01-20,1334,43.83,drama,
0013-MHZWF,durga,,Delhi,Women,1988-12-10,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,1,90.0,N,2025-03-18,1535,50.43,,
0013-SMEOE,mina,India,Meghalaya,Female,1976-09-21,2021-09-30,Referral,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,1,30.0,N,2024-11-01,1796,59.01,,
0014-BMAQU,madan,India,Rajasthan,Male,1999-03-14,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,0,,0,,2390,78.52,,
0015-UOCOJ,maya,,Kathmandu,Women,1985-07-07,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,0,,0,,1136,37.32,,
0016-QLJIS,arjun,Nepal,Kathmandu,Male,1993-10-29,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,0,,0,,1611,52.93,,
0017-DINOC,shiva,India,Maharashtra,Men,1997-01-22,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,0,,0,,1734,56.97,,
0017-IUDMW,rangadevi,India,Karnataka,Female,1981-06-18,2023-03-17,Referral,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,1,25.0,Y,2024-04-10,1263,41.49,,
0018-NYROU,chitra,,Telangana,Female,2004-12-01,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,0,,0,,2152,70.7,,
0019-EFAEP,raju,India,Meghalaya,Female,1992-04-25,2022-08-25,Referral,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,1,30.0,Y,2024-09-27,1467,48.2,,
0019-GFNTW,Madhav,India,Uttar Pradesh,Men,1979-11-11,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,0,,0,,2485,81.64,,
0020-INWCK,parvati,India,Delhi,Female,1986-02-28,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,0,,0,,1213,39.85,job,
0020-JDNXP,rikim,India,Meghalaya,Female,1994-08-19,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,0,,0,,1685,55.36,,
